001.txt,0.98,92
002.txt,0.93,90
003.txt,0.87,87
004.txt,1.0,98
005.txt,1.0,94
006.txt,0.18,66
007.txt,0.0,28
008.txt,0.0,33
009.txt,0.0,20
010.txt,0.38,74
011.txt,0.6,82
012.txt,0.09,62
013.txt,0.0,38
014.txt,0.0,34
015.txt,0.97,91
016.txt,0.0,36
017.txt,0.04,55
018.txt,0.47,76
019.txt,0.08,59
020.txt,1.0,95
021.txt,0.03,53
022.txt,0.0,47
023.txt,0.0,7
024.txt,0.59,81
025.txt,0.0,25
026.txt,1.0,96
027.txt,0.0,49
028.txt,0.0,10
029.txt,0.0,3
030.txt,0.0,4
031.txt,0.54,80
032.txt,0.03,52
033.txt,0.29,70
034.txt,0.0,1
035.txt,0.06,57
036.txt,0.91,89
037.txt,1.0,99
038.txt,0.28,69
039.txt,0.0,11
040.txt,0.0,22
041.txt,0.08,58
042.txt,0.76,84
043.txt,0.0,44
044.txt,0.0,31
045.txt,0.04,54
046.txt,0.0,41
047.txt,0.0,35
048.txt,0.17,64
049.txt,0.22,67
050.txt,0.0,40
051.txt,0.4,75
052.txt,0.0,15
053.txt,0.0,30
054.txt,0.48,78
055.txt,0.84,86
056.txt,0.0,42
057.txt,0.0,16
058.txt,0.31,71
059.txt,0.02,51
060.txt,0.13,63
061.txt,0.26,68
062.txt,0.0,26
063.txt,1.0,100
064.txt,0.0,21
065.txt,0.32,73
066.txt,0.0,19
067.txt,0.62,83
068.txt,0.0,46
069.txt,0.0,39
070.txt,0.01,50
071.txt,0.0,48
072.txt,0.0,18
073.txt,0.0,12
074.txt,0.0,8
075.txt,0.08,61
076.txt,0.0,27
077.txt,0.0,6
078.txt,0.0,43
079.txt,0.31,72
080.txt,0.0,2
081.txt,0.18,65
082.txt,0.0,45
083.txt,0.0,13
084.txt,0.0,17
085.txt,0.0,37
086.txt,0.98,93
087.txt,0.0,9
088.txt,0.0,5
089.txt,0.47,77
090.txt,0.0,14
091.txt,0.0,32
092.txt,0.52,79
093.txt,0.05,56
094.txt,0.8,85
095.txt,0.08,60
096.txt,0.0,23
097.txt,0.0,29
098.txt,0.0,24
099.txt,0.91,88
100.txt,1.0,97
